iter	RMSE
0	15.17822499
1	15.0764528
2	14.9830767
3	14.88833302
4	14.79038249
5	14.7107676
6	14.61476972
7	14.53312961
8	14.4449862
9	14.34713349
10	14.25127654
11	14.17116804
12	14.07290031
13	13.98345849
14	13.89417226
15	13.80187536
16	13.71257169
17	13.63037136
18	13.53804568
19	13.45425783
20	13.3859739
21	13.30460682
22	13.22336092
23	13.13868096
24	13.06051725
25	12.9868799
26	12.90738302
27	12.83065779
28	12.75095062
29	12.67689993
